"","State","Clean_State","call_time","poll_closing_time","time_diff_2020","state_po","candidate","candidatevotes","totalvotes","vote_percent","vote_diff"
"1","                Georgia                (16)                ","GEORGIA",2020-11-14 11:42:00,2020-11-03 19:00:00,15402,"GA","BIDEN, JOSEPH R. JR",2473633,4999960,0.494730557844463,0.00235581884655073
"2","                Arizona                (11)                ","ARIZONA",2020-11-11 22:34:00,2020-11-03 21:00:00,11614,"AZ","BIDEN, JOSEPH R. JR",1672143,3387326,0.493646906143666,0.00308709583901873
"3","                Alaska                (3)                ","ALASKA",2020-11-11 08:26:00,2020-11-03 01:00:00,11966,"AK","TRUMP, DONALD J.",189951,359530,0.528331432703808,0.100611909993603
"4","                North Carolina                (15)                ","NORTH CAROLINA",2020-11-10 16:32:00,2020-11-03 19:30:00,9902,"NC","TRUMP, DONALD J.",2758773,5524802,0.499343324882955,0.0134812071093227
"5","                Nevada                (6)                ","NEVADA",2020-11-07 12:16:00,2020-11-03 22:00:00,5176,"NV","BIDEN, JOSEPH R. JR",703486,1405376,0.50056781957284,0.0239053463272462
"6","                Pennsylvania                (20)                ","PENNSYLVANIA",2020-11-06 08:52:00,2020-11-03 20:00:00,3652,"PA","BIDEN, JOSEPH R. JR",3458229,6915283,0.500084956754481,0.0116488363527567
"7","                Michigan                (16)                ","MICHIGAN",2020-11-04 16:22:00,2020-11-03 21:00:00,1162,"MI","BIDEN, JOSEPH R. JR",2804040,5539302,0.506208182908244,0.0278352759968675
"8","                Wisconsin                (10)                ","WISCONSIN",2020-11-04 15:12:00,2020-11-03 21:00:00,1092,"WI","BIDEN, JOSEPH R. JR",1630866,3298041,0.494495368614277,0.00627099541818915
"9","                Maine CD 2                (1)                ","MAINE",2020-11-04 10:28:00,2020-11-03 20:00:00,868,"ME","BIDEN, JOSEPH R. JR",435072,828305,0.525255793457724,0.0897435123535412
"10","                Maine                (2)                ","MAINE",2020-11-04 02:42:00,2020-11-03 20:00:00,402,"ME","BIDEN, JOSEPH R. JR",435072,828305,0.525255793457724,0.0897435123535412
"11","                Minnesota                (10)                ","MINNESOTA",2020-11-04 01:54:00,2020-11-03 21:00:00,294,"MN","BIDEN, JOSEPH R. JR",1717077,3277171,0.5239509930974,0.0711015690057064
"12","                Montana                (3)                ","MONTANA",2020-11-04 01:40:00,2020-11-03 22:00:00,220,"MT","TRUMP, DONALD J.",343602,603674,0.569184692400203,0.163690998784112
"13","                Nebraska CD 2                (1)                ","NEBRASKA",2020-11-04 01:06:00,2020-11-03 21:00:00,246,"NE","TRUMP, DONALD J.",556846,956383,0.582241633320542,0.190575323902662
